movie_id,title,genres,title_length,text_for_embedding,clean_text,text_length
1,Toy Story (1995),Animation|Children's|Comedy,16,"Toy Story (1995) Animation,Children's,Comedy","Toy Story (1995) Animation,Children's,Comedy",44
2,Jumanji (1995),Adventure|Children's|Fantasy,14,"Jumanji (1995) Adventure,Children's,Fantasy","Jumanji (1995) Adventure,Children's,Fantasy",43
3,Grumpier Old Men (1995),Comedy|Romance,23,"Grumpier Old Men (1995) Comedy,Romance","Grumpier Old Men (1995) Comedy,Romance",38
4,Waiting to Exhale (1995),Comedy|Drama,24,"Waiting to Exhale (1995) Comedy,Drama","Waiting to Exhale (1995) Comedy,Drama",37
5,Father of the Bride Part II (1995),Comedy,34,Father of the Bride Part II (1995) Comedy,Father of the Bride Part II (1995) Comedy,41
6,Heat (1995),Action|Crime|Thriller,11,"Heat (1995) Action,Crime,Thriller","Heat (1995) Action,Crime,Thriller",33
7,Sabrina (1995),Comedy|Romance,14,"Sabrina (1995) Comedy,Romance","Sabrina (1995) Comedy,Romance",29
8,Tom and Huck (1995),Adventure|Children's,19,"Tom and Huck (1995) Adventure,Children's","Tom and Huck (1995) Adventure,Children's",40
9,Sudden Death (1995),Action,19,Sudden Death (1995) Action,Sudden Death (1995) Action,26
10,GoldenEye (1995),Action|Adventure|Thriller,16,"GoldenEye (1995) Action,Adventure,Thriller","GoldenEye (1995) Action,Adventure,Thriller",42
11,"American President, The (1995)",Comedy|Drama|Romance,30,"American President, The (1995) Comedy,Drama,Romance","American President, The (1995) Comedy,Drama,Romance",51
12,Dracula: Dead and Loving It (1995),Comedy|Horror,34,"Dracula: Dead and Loving It (1995) Comedy,Horror","Dracula: Dead and Loving It (1995) Comedy,Horror",48
13,Balto (1995),Animation|Children's,12,"Balto (1995) Animation,Children's","Balto (1995) Animation,Children's",33
14,Nixon (1995),Drama,12,Nixon (1995) Drama,Nixon (1995) Drama,18
15,Cutthroat Island (1995),Action|Adventure|Romance,23,"Cutthroat Island (1995) Action,Adventure,Romance","Cutthroat Island (1995) Action,Adventure,Romance",48
16,Casino (1995),Drama|Thriller,13,"Casino (1995) Drama,Thriller","Casino (1995) Drama,Thriller",28
17,Sense and Sensibility (1995),Drama|Romance,28,"Sense and Sensibility (1995) Drama,Romance","Sense and Sensibility (1995) Drama,Romance",42
18,Four Rooms (1995),Thriller,17,Four Rooms (1995) Thriller,Four Rooms (1995) Thriller,26
19,Ace Ventura: When Nature Calls (1995),Comedy,37,Ace Ventura: When Nature Calls (1995) Comedy,Ace Ventura: When Nature Calls (1995) Comedy,44
20,Money Train (1995),Action,18,Money Train (1995) Action,Money Train (1995) Action,25
21,Get Shorty (1995),Action|Comedy|Drama,17,"Get Shorty (1995) Action,Comedy,Drama","Get Shorty (1995) Action,Comedy,Drama",37
22,Copycat (1995),Crime|Drama|Thriller,14,"Copycat (1995) Crime,Drama,Thriller","Copycat (1995) Crime,Drama,Thriller",35
23,Assassins (1995),Thriller,16,Assassins (1995) Thriller,Assassins (1995) Thriller,25
24,Powder (1995),Drama|Sci-Fi,13,"Powder (1995) Drama,Sci-Fi","Powder (1995) Drama,Sci-Fi",26
25,Leaving Las Vegas (1995),Drama|Romance,24,"Leaving Las Vegas (1995) Drama,Romance","Leaving Las Vegas (1995) Drama,Romance",38
26,Othello (1995),Drama,14,Othello (1995) Drama,Othello (1995) Drama,20
27,Now and Then (1995),Drama,19,Now and Then (1995) Drama,Now and Then (1995) Drama,25
28,Persuasion (1995),Romance,17,Persuasion (1995) Romance,Persuasion (1995) Romance,25
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,33,"City of Lost Children, The (1995) Adventure,Sci-Fi","City of Lost Children, The (1995) Adventure,Sci-Fi",50
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,52,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Drama,58
31,Dangerous Minds (1995),Drama,22,Dangerous Minds (1995) Drama,Dangerous Minds (1995) Drama,28
32,Twelve Monkeys (1995),Drama|Sci-Fi,21,"Twelve Monkeys (1995) Drama,Sci-Fi","Twelve Monkeys (1995) Drama,Sci-Fi",34
33,Wings of Courage (1995),Adventure|Romance,23,"Wings of Courage (1995) Adventure,Romance","Wings of Courage (1995) Adventure,Romance",41
34,Babe (1995),Children's|Comedy|Drama,11,"Babe (1995) Children's,Comedy,Drama","Babe (1995) Children's,Comedy,Drama",35
35,Carrington (1995),Drama|Romance,17,"Carrington (1995) Drama,Romance","Carrington (1995) Drama,Romance",31
36,Dead Man Walking (1995),Drama,23,Dead Man Walking (1995) Drama,Dead Man Walking (1995) Drama,29
37,Across the Sea of Time (1995),Documentary,29,Across the Sea of Time (1995) Documentary,Across the Sea of Time (1995) Documentary,41
38,It Takes Two (1995),Comedy,19,It Takes Two (1995) Comedy,It Takes Two (1995) Comedy,26
39,Clueless (1995),Comedy|Romance,15,"Clueless (1995) Comedy,Romance","Clueless (1995) Comedy,Romance",30
40,"Cry, the Beloved Country (1995)",Drama,31,"Cry, the Beloved Country (1995) Drama","Cry, the Beloved Country (1995) Drama",37
41,Richard III (1995),Drama|War,18,"Richard III (1995) Drama,War","Richard III (1995) Drama,War",28
42,Dead Presidents (1995),Action|Crime|Drama,22,"Dead Presidents (1995) Action,Crime,Drama","Dead Presidents (1995) Action,Crime,Drama",41
43,Restoration (1995),Drama,18,Restoration (1995) Drama,Restoration (1995) Drama,24
44,Mortal Kombat (1995),Action|Adventure,20,"Mortal Kombat (1995) Action,Adventure","Mortal Kombat (1995) Action,Adventure",37
45,To Die For (1995),Comedy|Drama,17,"To Die For (1995) Comedy,Drama","To Die For (1995) Comedy,Drama",30
46,How to Make an American Quilt (1995),Drama|Romance,36,"How to Make an American Quilt (1995) Drama,Romance","How to Make an American Quilt (1995) Drama,Romance",50
47,Seven (Se7en) (1995),Crime|Thriller,20,"Seven (Se7en) (1995) Crime,Thriller","Seven (Se7en) (1995) Crime,Thriller",35
48,Pocahontas (1995),Animation|Children's|Musical|Romance,17,"Pocahontas (1995) Animation,Children's,Musical,Romance","Pocahontas (1995) Animation,Children's,Musical,Romance",54
49,When Night Is Falling (1995),Drama|Romance,28,"When Night Is Falling (1995) Drama,Romance","When Night Is Falling (1995) Drama,Romance",42
50,"Usual Suspects, The (1995)",Crime|Thriller,26,"Usual Suspects, The (1995) Crime,Thriller","Usual Suspects, The (1995) Crime,Thriller",41
51,Guardian Angel (1994),Action|Drama|Thriller,21,"Guardian Angel (1994) Action,Drama,Thriller","Guardian Angel (1994) Action,Drama,Thriller",43
52,Mighty Aphrodite (1995),Comedy,23,Mighty Aphrodite (1995) Comedy,Mighty Aphrodite (1995) Comedy,30
53,Lamerica (1994),Drama,15,Lamerica (1994) Drama,Lamerica (1994) Drama,21
54,"Big Green, The (1995)",Children's|Comedy,21,"Big Green, The (1995) Children's,Comedy","Big Green, The (1995) Children's,Comedy",39
55,Georgia (1995),Drama,14,Georgia (1995) Drama,Georgia (1995) Drama,20
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,30,"Kids of the Round Table (1995) Adventure,Children's,Fantasy","Kids of the Round Table (1995) Adventure,Children's,Fantasy",59
57,Home for the Holidays (1995),Drama,28,Home for the Holidays (1995) Drama,Home for the Holidays (1995) Drama,34
58,"Postino, Il (The Postman) (1994)",Drama|Romance,32,"Postino, Il (The Postman) (1994) Drama,Romance","Postino, Il (The Postman) (1994) Drama,Romance",46
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,43,"Confessional, The (Le Confessionnal) (1995) Drama,Mystery","Confessional, The (Le Confessionnal) (1995) Drama,Mystery",57
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,34,"Indian in the Cupboard, The (1995) Adventure,Children's,Fantasy","Indian in the Cupboard, The (1995) Adventure,Children's,Fantasy",63
61,Eye for an Eye (1996),Drama|Thriller,21,"Eye for an Eye (1996) Drama,Thriller","Eye for an Eye (1996) Drama,Thriller",36
62,Mr. Holland's Opus (1995),Drama,25,Mr. Holland's Opus (1995) Drama,Mr. Holland's Opus (1995) Drama,31
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,79,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) Comedy,86
64,Two if by Sea (1996),Comedy|Romance,20,"Two if by Sea (1996) Comedy,Romance","Two if by Sea (1996) Comedy,Romance",35
65,Bio-Dome (1996),Comedy,15,Bio-Dome (1996) Comedy,Bio-Dome (1996) Comedy,22
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,41,"Lawnmower Man 2: Beyond Cyberspace (1996) Sci-Fi,Thriller","Lawnmower Man 2: Beyond Cyberspace (1996) Sci-Fi,Thriller",57
67,Two Bits (1995),Drama,15,Two Bits (1995) Drama,Two Bits (1995) Drama,21
68,French Twist (Gazon maudit) (1995),Comedy|Romance,34,"French Twist (Gazon maudit) (1995) Comedy,Romance","French Twist (Gazon maudit) (1995) Comedy,Romance",49
69,Friday (1995),Comedy,13,Friday (1995) Comedy,Friday (1995) Comedy,20
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,26,"From Dusk Till Dawn (1996) Action,Comedy,Crime,Horror,Thriller","From Dusk Till Dawn (1996) Action,Comedy,Crime,Horror,Thriller",62
71,Fair Game (1995),Action,16,Fair Game (1995) Action,Fair Game (1995) Action,23
72,Kicking and Screaming (1995),Comedy|Drama,28,"Kicking and Screaming (1995) Comedy,Drama","Kicking and Screaming (1995) Comedy,Drama",41
73,"Misérables, Les (1995)",Drama|Musical,22,"Misérables, Les (1995) Drama,Musical","Misérables, Les (1995) Drama,Musical",36
74,Bed of Roses (1996),Drama|Romance,19,"Bed of Roses (1996) Drama,Romance","Bed of Roses (1996) Drama,Romance",33
75,Big Bully (1996),Comedy|Drama,16,"Big Bully (1996) Comedy,Drama","Big Bully (1996) Comedy,Drama",29
76,Screamers (1995),Sci-Fi|Thriller,16,"Screamers (1995) Sci-Fi,Thriller","Screamers (1995) Sci-Fi,Thriller",32
77,Nico Icon (1995),Documentary,16,Nico Icon (1995) Documentary,Nico Icon (1995) Documentary,28
78,"Crossing Guard, The (1995)",Drama,26,"Crossing Guard, The (1995) Drama","Crossing Guard, The (1995) Drama",32
79,"Juror, The (1996)",Drama|Thriller,17,"Juror, The (1996) Drama,Thriller","Juror, The (1996) Drama,Thriller",32
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,44,"White Balloon, The (Badkonake Sefid ) (1995) Drama","White Balloon, The (Badkonake Sefid ) (1995) Drama",50
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,46,"Things to Do in Denver when You're Dead (1995) Crime,Drama,Romance","Things to Do in Denver when You're Dead (1995) Crime,Drama,Romance",66
82,Antonia's Line (Antonia) (1995),Drama,31,Antonia's Line (Antonia) (1995) Drama,Antonia's Line (Antonia) (1995) Drama,37
83,Once Upon a Time... When We Were Colored (1995),Drama,47,Once Upon a Time... When We Were Colored (1995) Drama,Once Upon a Time... When We Were Colored (1995) Drama,53
84,Last Summer in the Hamptons (1995),Comedy|Drama,34,"Last Summer in the Hamptons (1995) Comedy,Drama","Last Summer in the Hamptons (1995) Comedy,Drama",47
85,Angels and Insects (1995),Drama|Romance,25,"Angels and Insects (1995) Drama,Romance","Angels and Insects (1995) Drama,Romance",39
86,White Squall (1996),Adventure|Drama,19,"White Squall (1996) Adventure,Drama","White Squall (1996) Adventure,Drama",35
87,Dunston Checks In (1996),Children's|Comedy,24,"Dunston Checks In (1996) Children's,Comedy","Dunston Checks In (1996) Children's,Comedy",42
88,Black Sheep (1996),Comedy,18,Black Sheep (1996) Comedy,Black Sheep (1996) Comedy,25
89,Nick of Time (1995),Action|Thriller,19,"Nick of Time (1995) Action,Thriller","Nick of Time (1995) Action,Thriller",35
90,"Journey of August King, The (1995)",Drama,34,"Journey of August King, The (1995) Drama","Journey of August King, The (1995) Drama",40
92,Mary Reilly (1996),Drama|Thriller,18,"Mary Reilly (1996) Drama,Thriller","Mary Reilly (1996) Drama,Thriller",33
93,Vampire in Brooklyn (1995),Comedy|Romance,26,"Vampire in Brooklyn (1995) Comedy,Romance","Vampire in Brooklyn (1995) Comedy,Romance",41
94,Beautiful Girls (1996),Drama,22,Beautiful Girls (1996) Drama,Beautiful Girls (1996) Drama,28
95,Broken Arrow (1996),Action|Thriller,19,"Broken Arrow (1996) Action,Thriller","Broken Arrow (1996) Action,Thriller",35
96,In the Bleak Midwinter (1995),Comedy,29,In the Bleak Midwinter (1995) Comedy,In the Bleak Midwinter (1995) Comedy,36
97,"Hate (Haine, La) (1995)",Drama,23,"Hate (Haine, La) (1995) Drama","Hate (Haine, La) (1995) Drama",29
98,Shopping (1994),Action|Thriller,15,"Shopping (1994) Action,Thriller","Shopping (1994) Action,Thriller",31
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,36,Heidi Fleiss: Hollywood Madam (1995) Documentary,Heidi Fleiss: Hollywood Madam (1995) Documentary,48
100,City Hall (1996),Drama|Thriller,16,"City Hall (1996) Drama,Thriller","City Hall (1996) Drama,Thriller",31
101,Bottle Rocket (1996),Comedy,20,Bottle Rocket (1996) Comedy,Bottle Rocket (1996) Comedy,27
102,Mr. Wrong (1996),Comedy,16,Mr. Wrong (1996) Comedy,Mr. Wrong (1996) Comedy,23
103,Unforgettable (1996),Thriller,20,Unforgettable (1996) Thriller,Unforgettable (1996) Thriller,29
104,Happy Gilmore (1996),Comedy,20,Happy Gilmore (1996) Comedy,Happy Gilmore (1996) Comedy,27
105,"Bridges of Madison County, The (1995)",Drama|Romance,37,"Bridges of Madison County, The (1995) Drama,Romance","Bridges of Madison County, The (1995) Drama,Romance",51
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,42,"Nobody Loves Me (Keiner liebt mich) (1994) Comedy,Drama","Nobody Loves Me (Keiner liebt mich) (1994) Comedy,Drama",55
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,29,"Muppet Treasure Island (1996) Adventure,Children's,Comedy,Musical","Muppet Treasure Island (1996) Adventure,Children's,Comedy,Musical",65
108,Catwalk (1995),Documentary,14,Catwalk (1995) Documentary,Catwalk (1995) Documentary,26
109,Headless Body in Topless Bar (1995),Comedy,35,Headless Body in Topless Bar (1995) Comedy,Headless Body in Topless Bar (1995) Comedy,42
110,Braveheart (1995),Action|Drama|War,17,"Braveheart (1995) Action,Drama,War","Braveheart (1995) Action,Drama,War",34
111,Taxi Driver (1976),Drama|Thriller,18,"Taxi Driver (1976) Drama,Thriller","Taxi Driver (1976) Drama,Thriller",33
112,Rumble in the Bronx (1995),Action|Adventure|Crime,26,"Rumble in the Bronx (1995) Action,Adventure,Crime","Rumble in the Bronx (1995) Action,Adventure,Crime",49
113,Before and After (1996),Drama|Mystery,23,"Before and After (1996) Drama,Mystery","Before and After (1996) Drama,Mystery",37
114,Margaret's Museum (1995),Drama,24,Margaret's Museum (1995) Drama,Margaret's Museum (1995) Drama,30
115,Happiness Is in the Field (1995),Comedy,32,Happiness Is in the Field (1995) Comedy,Happiness Is in the Field (1995) Comedy,39
116,Anne Frank Remembered (1995),Documentary,28,Anne Frank Remembered (1995) Documentary,Anne Frank Remembered (1995) Documentary,40
117,"Young Poisoner's Handbook, The (1995)",Crime,37,"Young Poisoner's Handbook, The (1995) Crime","Young Poisoner's Handbook, The (1995) Crime",43
118,If Lucy Fell (1996),Comedy|Romance,19,"If Lucy Fell (1996) Comedy,Romance","If Lucy Fell (1996) Comedy,Romance",34
119,"Steal Big, Steal Little (1995)",Comedy,30,"Steal Big, Steal Little (1995) Comedy","Steal Big, Steal Little (1995) Comedy",37
120,Race the Sun (1996),Drama,19,Race the Sun (1996) Drama,Race the Sun (1996) Drama,25
121,"Boys of St. Vincent, The (1993)",Drama,31,"Boys of St. Vincent, The (1993) Drama","Boys of St. Vincent, The (1993) Drama",37
122,Boomerang (1992),Comedy|Romance,16,"Boomerang (1992) Comedy,Romance","Boomerang (1992) Comedy,Romance",31
123,Chungking Express (1994),Drama|Mystery|Romance,24,"Chungking Express (1994) Drama,Mystery,Romance","Chungking Express (1994) Drama,Mystery,Romance",46
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,46,"Star Maker, The (Uomo delle stelle, L') (1995) Drama","Star Maker, The (Uomo delle stelle, L') (1995) Drama",52
125,Flirting With Disaster (1996),Comedy,29,Flirting With Disaster (1996) Comedy,Flirting With Disaster (1996) Comedy,36
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,33,"NeverEnding Story III, The (1994) Adventure,Children's,Fantasy","NeverEnding Story III, The (1994) Adventure,Children's,Fantasy",62
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,50,"Silence of the Palace, The (Saimt el Qusur) (1994) Drama","Silence of the Palace, The (Saimt el Qusur) (1994) Drama",56
128,Jupiter's Wife (1994),Documentary,21,Jupiter's Wife (1994) Documentary,Jupiter's Wife (1994) Documentary,33
129,Pie in the Sky (1995),Comedy|Romance,21,"Pie in the Sky (1995) Comedy,Romance","Pie in the Sky (1995) Comedy,Romance",36
130,Angela (1995),Drama,13,Angela (1995) Drama,Angela (1995) Drama,19
131,Frankie Starlight (1995),Drama|Romance,24,"Frankie Starlight (1995) Drama,Romance","Frankie Starlight (1995) Drama,Romance",38
132,Jade (1995),Thriller,11,Jade (1995) Thriller,Jade (1995) Thriller,20
133,Nueba Yol (1995),Comedy|Drama,16,"Nueba Yol (1995) Comedy,Drama","Nueba Yol (1995) Comedy,Drama",29
134,Sonic Outlaws (1995),Documentary,20,Sonic Outlaws (1995) Documentary,Sonic Outlaws (1995) Documentary,32
135,Down Periscope (1996),Comedy,21,Down Periscope (1996) Comedy,Down Periscope (1996) Comedy,28
